datetime,lat,lon,site_id,site_name,duration,qc,parameter,unit,poc,value,data_status
20230711T0012,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,36.24,0
20230711T0024,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,37.42,0
20230711T0122,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,46.55,0
20230711T0130,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,39.78,0
20230711T0130,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,32.66,0
20230711T0141,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,26.89,0
20230711T0144,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,43.11,0
20230711T0153,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,32.24,0
20230711T0156,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,46.06,0
20230711T0241,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,34.64,0
20230711T0317,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,41.35,0
20230711T0404,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,44.48,0
20230711T0417,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,45.4,0
20230711T0510,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,45.8,0
20230711T0526,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,47.86,0
20230711T0537,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,49.88,0
20230711T0559,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,48.88,0
20230711T0600,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,49.17,0
20230711T0621,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,47.23,0
